centroid_col	centroid_row	timepoint	position_number	centroidNibble_w2Cy5_5	meanIntensity_w2Cy5_5	totalIntensity_w2Cy5_5	centroidNibble_w7YFP	meanIntensity_w7YFP	totalIntensity_w7YFP	area	solidity	group_number	relative_time
93	136	27	4	58.8985507246377	20.7302985805188	42352	7.65217391304348	4.69897209985316	9600	2043	0.986479961371318	1	28149.1199992597
94	360	27	4	8.97101449275362	6.39160839160839	1828	36.7101449275362	32.1538461538462	9196	286	0.986206896551724	1	28149.1199992597
103	310	27	4	8.18840579710145	6.43262411347518	3628	56.2463768115942	36.8209219858156	20767	564	0.982578397212544	1	28149.1199992597
110	503	27	4	31.1159420289855	16.0775095298602	12653	16.7246376811594	7.8869123252859	6207	787	0.994943109987358	1	28149.1199992597
103	7	27	4	11.9130434782609	9.30724637681159	3211	32.8695652173913	23.1913043478261	8001	345	0.991379310344828	1	28149.1199992597
121	241	27	4	65.9130434782609	20.2744462452728	37528	39.6231884057971	17.2285251215559	31890	1851	0.980402542372881	1	28149.1199992597
130	61	27	4	22.536231884058	10.2379329926178	18029	17.6811594202899	14.8847245883021	26212	1761	0.980512249443207	1	28149.1199992597
135	335	27	4	7.47826086956522	6.44907975460123	5256	5.56521739130435	3.9840490797546	3247	815	0.985489721886336	1	28149.1199992597
145	417	27	4	62.5652173913044	16.6836268754077	25576	30.1014492753623	12.703196347032	19474	1533	0.985852090032154	1	28149.1199992597
173	246	27	4	69.2028985507246	20.1389408099688	32323	21.3768115942029	10.1869158878505	16350	1605	0.987692307692308	1	28149.1199992597
175	374	27	4	90.1739130434783	20.8784905660377	27664	10.5217391304348	4.2777358490566	5668	1325	0.982937685459941	1	28149.1199992597
191	124	27	4	57.8985507246377	19.8446356275304	39213	6.7536231884058	4.12955465587045	8160	1976	0.986520219670494	1	28149.1199992597
202	438	27	4	74.8115942028985	19.6751467710372	30162	12.9130434782609	5.45988258317025	8370	1533	0.985852090032154	1	28149.1199992597
201	296	27	4	51.1594202898551	16.4158911954188	22933	13.8115942028986	5.69005010737294	7949	1397	0.98311048557354	1	28149.1199992597
219	203	27	4	49.1594202898551	17.8781148429036	33003	13.1014492753623	8.76002166847237	16171	1846	0.984008528784648	1	28149.1199992597
228	387	27	4	66.8985507246377	20.1637426900585	31032	47.6521739130435	16.2261208576998	24972	1539	0.986538461538462	1	28149.1199992597
242	77	27	4	51.3478260869565	15.5722222222222	22424	15.0579710144928	6.97361111111111	10042	1440	0.986301369863014	1	28149.1199992597
274	356	27	4	79.1739130434783	20.0411132194813	31685	34.9420289855072	13.5256166982922	21384	1581	0.987507807620237	1	28149.1199992597
274	316	27	4	42.2753623188406	13.8630549285177	18424	41.9420289855073	17.1000752445448	22726	1329	0.988839285714286	1	28149.1199992597
